tx,ty,tz
255.386047,72.510986,-80.058746
257.260376,72.998260,-79.705940
259.134705,73.485535,-79.353134
261.009033,73.972809,-79.000328
262.883362,74.460083,-78.647522
264.757690,74.947357,-78.294716
266.632019,75.434631,-77.941910
268.506348,75.921906,-77.589104
270.380676,76.409180,-77.236298
272.255005,76.896454,-76.883492
274.129333,77.383728,-76.530685
276.003662,77.871002,-76.177879
277.877991,78.358276,-75.825073
279.752319,78.845551,-75.472267
281.626648,79.332825,-75.119461
283.500977,79.820099,-74.766655
285.375305,80.307373,-74.413849
287.249634,80.794647,-74.061043
289.123962,81.281921,-73.708237
290.998291,81.769196,-73.355431
292.872620,82.256470,-73.002625
294.746948,82.743744,-72.649818
296.621277,83.231018,-72.297012
298.495605,83.718292,-71.944206
300.369934,84.205566,-71.591400
302.244263,84.692841,-71.238594
304.118591,85.180115,-70.885788
305.992920,85.667389,-70.532982
307.867249,86.154663,-70.180176
309.741577,86.641937,-69.827370
311.615906,87.129211,-69.474564
313.490234,87.616486,-69.121758
315.364563,88.103760,-68.768951
317.238892,88.591034,-68.416145
319.113220,89.078308,-68.063339
320.987549,89.565582,-67.710533
322.861877,90.052856,-67.357727
324.736206,90.540131,-67.004921
326.610535,91.027405,-66.652115
328.484863,91.514679,-66.299309
330.359192,92.001953,-65.946503
332.233521,92.489227,-65.593697
257.712555,74.831024,-79.147797
259.586884,75.318298,-78.794991
261.461212,75.805573,-78.442184
263.335541,76.292847,-78.089378
265.209869,76.780121,-77.736572
267.084198,77.267395,-77.383766
268.958527,77.754669,-77.030960
270.832855,78.241943,-76.678154
272.707184,78.729218,-76.325348
274.581512,79.216492,-75.972542
276.455841,79.703766,-75.619736
278.330170,80.191040,-75.266930
280.204498,80.678314,-74.914124
282.078827,81.165588,-74.561317
283.953156,81.652863,-74.208511
285.827484,82.140137,-73.855705
287.701813,82.627411,-73.502899
289.576141,83.114685,-73.150093
291.450470,83.601959,-72.797287
293.324799,84.089233,-72.444481
295.199127,84.576508,-72.091675
297.073456,85.063782,-71.738869
298.947784,85.551056,-71.386063
300.822113,86.038330,-71.033257
302.696442,86.525604,-70.680450
304.570770,87.012878,-70.327644
306.445099,87.500153,-69.974838
308.319427,87.987427,-69.622032
310.193756,88.474701,-69.269226
312.068085,88.961975,-68.916420
313.942413,89.449249,-68.563614
315.816742,89.936523,-68.210808
317.691071,90.423798,-67.858002
319.565399,90.911072,-67.505196
321.439728,91.398346,-67.152390
323.314056,91.885620,-66.799583
325.188385,92.372894,-66.446777
327.062714,92.860168,-66.093971
328.937042,93.347443,-65.741165
330.811371,93.834717,-65.388359
332.685699,94.321991,-65.035553
258.164734,76.663780,-78.589653
260.039063,77.151054,-78.236847
261.913391,77.638329,-77.884041
263.787720,78.125603,-77.531235
265.662048,78.612877,-77.178429
267.536377,79.100151,-76.825623
269.410706,79.587425,-76.472816
271.285034,80.074699,-76.120010
273.159363,80.561974,-75.767204
275.033691,81.049248,-75.414398
276.908020,81.536522,-75.061592
278.782349,82.023796,-74.708786
280.656677,82.511070,-74.355980
282.531006,82.998344,-74.003174
284.405334,83.485619,-73.650368
286.279663,83.972893,-73.297562
288.153992,84.460167,-72.944756
290.028320,84.947441,-72.591949
291.902649,85.434715,-72.239143
293.776978,85.921989,-71.886337
295.651306,86.409264,-71.533531
297.525635,86.896538,-71.180725
299.399963,87.383812,-70.827919
301.274292,87.871086,-70.475113
303.148621,88.358360,-70.122307
305.022949,88.845634,-69.769501
306.897278,89.332909,-69.416695
308.771606,89.820183,-69.063889
310.645935,90.307457,-68.711082
312.520264,90.794731,-68.358276
314.394592,91.282005,-68.005470
316.268921,91.769279,-67.652664
318.143250,92.256554,-67.299858
320.017578,92.743828,-66.947052
321.891907,93.231102,-66.594246
323.766235,93.718376,-66.241440
325.640564,94.205650,-65.888634
327.514893,94.692924,-65.535828
329.389221,95.180199,-65.183022
331.263550,95.667473,-64.830215
258.616913,78.496544,-78.031509
260.491241,78.983818,-77.678703
262.365570,79.471092,-77.325897
264.239899,79.958366,-76.973091
266.114227,80.445641,-76.620285
267.988556,80.932915,-76.267479
269.862885,81.420189,-75.914673
271.737213,81.907463,-75.561867
273.611542,82.394737,-75.209061
275.485870,82.882011,-74.856255
277.360199,83.369286,-74.503448
279.234528,83.856560,-74.150642
281.108856,84.343834,-73.797836
282.983185,84.831108,-73.445030
284.857513,85.318382,-73.092224
286.731842,85.805656,-72.739418
288.606171,86.292931,-72.386612
290.480499,86.780205,-72.033806
292.354828,87.267479,-71.681000
294.229156,87.754753,-71.328194
296.103485,88.242027,-70.975388
297.977814,88.729301,-70.622581
299.852142,89.216576,-70.269775
